rooms,size_sqft,location_score,price
4,2419,1.624251707876489,591755.7304297361
1,1377,1.9070020123968399,311084.3013730413
5,837,1.1639964308639477,384588.8348654341
5,3369,1.8499866468033557,797008.3667704212
2,1456,7.147060960747211,502864.8815076952
5,2204,1.6406978361420608,678939.0634071715
2,660,3.8707806726438516,316005.00897860876
1,2103,8.60387779872509,606073.1962619381
4,3348,1.209447421622433,743832.9204170285
4,897,8.330216343300421,581648.2890567419
4,1800,3.5366929729605996,570576.5492004874
5,1315,2.0634834485949063,524508.6709589328
1,2027,7.270634488277356,591106.7273995032
5,2419,6.660485621018956,799402.0399403055
5,1915,8.897248121743477,789771.9876361873
1,1658,7.615639394234972,520292.889398258
1,1718,8.231328373463636,497091.82208551955
1,900,3.538311153141758,253269.55803928894
1,1139,2.5969558940175053,332930.53350663825
4,3235,7.755532764767725,959040.1757805638
3,959,8.261512653405376,535469.4786132518
3,1454,9.91454627800606,679950.312416576
1,969,4.713559092202838,344538.0266296735
3,1545,4.348162772135049,589166.9033754324
3,3297,7.987716646677971,912170.8721862035
1,2193,4.06723186227716,497769.0160812957
3,2585,9.376815930432082,795165.9668979518
5,2777,8.725714766587107,888160.2849911739
2,1062,4.860946246375165,410214.97828793555
2,2985,7.757839610123476,761576.4196715967
1,2299,7.7908858667621415,593020.2332629224
4,2574,1.9281148195233935,627779.1224796387
1,725,9.1229761601161,405400.5847131231
4,1297,5.547271352030714,603146.6814377356
2,2831,8.438117194969674,799834.5097728265
1,3426,3.880446409275506,680114.0762453498
5,1459,9.059709056465804,777639.8751662248
3,2004,4.502815108607468,587618.6609494145
4,952,1.0975388633226852,354194.060866474
3,1315,9.148437787773373,659781.2355649427
3,1158,1.821580091075202,391820.1538243725
1,1046,3.873822738313734,297183.5282912506
3,1715,9.550557703457244,689008.2641516272
5,516,9.555464322438006,592173.4733385212
3,1743,6.160940993109575,561708.2365191788
1,2705,6.686534909528193,679500.4859741367
5,3024,5.036009697804878,902415.7069458996
2,1569,3.638896945282581,409552.71901299886
3,3065,3.957980908329244,742563.6581671416
1,2646,7.052666104693346,642213.9189127547
2,2268,7.77137076493912,661162.9883540563
2,1560,8.124211393532637,562916.4937000074
4,2827,8.106563285150985,845647.1293125341
5,3044,1.8208549274382133,762438.6885217672
3,801,5.449782742323233,412869.72935942106
1,680,1.5180288401497986,204302.2858489899
4,1106,5.94575994091362,543016.8454911801
5,1199,4.973774512360393,573089.5341991516
4,1492,8.989337644824698,670791.0377937009
5,1639,4.158235112968708,606177.7701248529
5,690,2.053603147848453,433992.8750810975
3,2800,2.2869251384755227,651130.6838448752
5,1480,7.85359568545725,683168.9894437537
4,3475,6.56396256984635,920652.1847311211
5,2506,1.9101040851051123,701987.8006374482
3,1684,1.756961255034977,413573.705623015
3,627,7.30872218313208,476895.67030346073
4,2565,1.6548670572777417,617830.4177446861
2,2316,8.396740533613206,713567.1827232251
2,2258,7.3561800444084655,640303.922418691
5,3113,1.7321390257770979,723792.1182567
1,1069,1.7635394267667273,222567.62185592277
5,1846,9.87975620651058,824494.809861852
4,2395,4.368437161805083,696796.1773971895
4,3233,4.335779323602019,792415.4640804504
4,1125,8.315196105317522,634170.69462896
4,3401,9.525237196454729,954369.1143369179
4,2186,9.874009574405838,822468.2922659923
3,654,7.780403667330475,451236.70502585283
2,3037,4.386336269778242,670844.1853982933
4,1909,1.7515064502880189,540080.1602915509
1,1284,7.994322243346931,460919.3331683091
1,745,6.025638247622245,332905.2588229217
1,2000,4.817998083222786,519697.2627270446
1,2205,9.157189465852625,641043.3872375
3,3306,2.000777340755362,726815.6230242895
1,1037,5.433625938617732,340316.1067920915
4,2390,1.1021828029067717,604810.5885350852
5,2341,5.217945777947136,793727.5888548617
1,1420,1.5067294811365362,246410.77193091388
3,2955,2.0693612464126474,635408.4560056175
3,1024,2.057736220993944,379758.8898093318
1,3375,6.842892719044572,756460.6469202624
5,2029,7.71440391338881,795060.7642359469
1,3450,6.250318885874437,739909.9369083376
3,535,9.659552936270877,522201.33277494885
2,1184,4.373835215713337,404923.12558659806
4,519,3.571408776536747,414186.8148375976
3,2868,8.817392153705143,851082.2856936847
1,3059,3.0123625466750736,607660.9429521323
4,899,9.669002854965502,614623.1614959034
1,3201,1.109390272208347,551241.5525644381
1,1471,9.728909440368751,551703.328515572
2,2406,1.388439207555185,512414.47978611296
4,3018,9.02028802328264,912784.0286779727
4,1666,5.749309981776698,629623.6708757113
2,1615,9.936683165073703,692235.5149183471
3,1333,1.6641690826185898,421653.19006435
1,2323,5.984688559611887,569840.0684841606
5,3274,9.72372282057189,1062842.0326712553
1,2482,5.707880597531339,583334.5336004014
1,1353,6.664587743217362,401934.51891707454
3,550,7.261738200861554,425149.9882529115
1,1074,5.090869582909959,317056.2894616524
2,1648,6.648022720756571,537852.8445216644
2,2697,6.258828807307902,692775.323698976
4,2861,9.110422094418901,944373.5956394491
5,3117,1.409017423073121,767993.7070362977
1,2852,3.528668706330073,578182.5479696806
1,2215,9.553703356689029,689596.2402302581
3,1181,9.012374055018247,542242.8389253502
2,1337,5.100910775071417,459467.68720485666
5,1577,6.581193380213831,703257.4312535891
4,2991,3.496430646830194,716578.2632604097
2,3160,2.6930904375138516,683386.5642055889
4,2811,5.173285644459839,785310.9795211556
3,2095,4.180170052234475,579272.9037195143
3,504,6.252905006657849,429006.6968523925
1,1626,1.6996117326848634,401655.6734256558
5,1719,9.769553268995498,805483.2544463275
4,1273,9.875896700316426,693432.4156670012
